clipping_fraction,dsp_issues,file,good,peak,qwen_clarity_score,qwen_good,qwen_has_severe_noise,qwen_reason,rms_db,score,spectral_flatness,zero_crossing_rate
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_1.wav,True,0.98831,7.0,True,False,The recording has some background noise but is generally clear and has a pleasant synth pop vibe.,-14.6,100.0,0.1303,0.2136
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_10.wav,True,0.93817,8.0,True,False,"The recording has minimal background noise and is relatively clear, presenting a good balance between acoustic quality and clarity.",-13.37,100.0,0.001,0.1099
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_11.wav,True,0.5322,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the clarity of the music.,-18.35,100.0,0.0007,0.0386
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_12.wav,True,0.89301,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the clarity of the fast bebop jazz improvisation.,-13.73,100.0,0.0897,0.2998
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_13.wav,True,0.73517,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the clarity of the guitar riff.,-13.0,100.0,0.0,0.0406
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_14.wav,True,0.87543,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the main melody.,-18.53,100.0,0.0125,0.1956
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_15.wav,True,0.97836,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the clarity of the music.,-15.55,100.0,0.1701,0.2174
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_16.wav,True,0.99139,7.0,True,False,The recording has some background noise but is generally clear and has a pleasant reggae vibe.,-8.88,100.0,0.0036,0.156
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_17.wav,True,0.94745,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the music.,-15.65,100.0,0.0594,0.1417
0.0,none,C:\Users\sepan\sparke-photo to audio\audio_outputs_no_sparke\sparke_audio_19.wav,True,0.92743,7.0,True,False,The recording has some background noise but it is not severe and does not obscure the music.,-16.15,100.0,0.018,0.097
